Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Campylobacteraceae	Corynebacteriaceae	Burkholderiaceae	Aerococcaceae	Yersiniaceae	Flavobacteriaceae	Bacteroidaceae	Paenibacillaceae	Bacillales_unclassified	Pasteurellaceae	Eggerthellaceae	family	sra_abundance
ERR1082958	0.68862	96.72169	0	1.08779	0.83006	0.67183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0.69
ERR1082961	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0
ERR1082963	44.98945	1.5071	0	53.46113	0.0315	0.01082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	44.99
ERR1082967	37.46021	41.04971	0	0	0	21.49008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	37.46
ERR1203671	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	0
ERR1203760	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	0
ERR1364115	99.77929	0.22071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Enterobacteriaceae	0.22
ERR1512641	87.10441	12.89559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	87.1
ERR1549309	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0
ERR175855	0.35043	99.64957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	0.35
ERR1911515	24.61809	75.38191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	24.62
ERR1911656	57.99086	0	0	0	0	0	0	42.00914	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	57.99
ERR1911657	10.5909	0	0	0	0	0	0	89.4091	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	10.59
ERR1911659	48.66246	27.77869	0	0	0	0	0	23.55885	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	48.66
ERR1911660	79.63367	0	0	0	0	0	0	20.36633	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	79.63
ERR1911661	81.5609	0.12287	0	0	0	0	0	18.31623	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	81.56
ERR1911662	42.23662	47.44673	0	0	0	0	0	10.31665	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	42.24
ERR1911663	82.70546	1.40814	0	0	0	0	0	15.8864	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	82.71
