run_accession	experiment_title	sample_accession	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	last_updated	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sample_description	sra_galaxy	sample_prep_interval	fastq_md5	secondary_study_accession	experimental_protocol	read_count	study_title	bio_material	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	sample_title	host_genotype	host_phenotype	environmental_medium	cultivar	instrument_model	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	base_count	library_strategy	restriction_site	serovar	investigation_type	location	library_source	sra_ftp	age	library_layout	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_read_type	library_construction_protocol	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	tag	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	secondary_sample_accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	first_public	transposase_protocol	study_alias
ERR1082958	Illumina HiSeq 2000 paired end sequencing	SAMEA3464924	Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana	ERA525926					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082958/17225_4#81.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082958/17225_4#81.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082958/17225_4#81.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082958/17225_4#81.cram.crai			146363909;146719719	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR108/ERR1082958/17225_4#81.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR108/ERR1082958/17225_4#81.cram.crai							d6dda90c1f08f68dfea71578f6ad097f;f22e3bc00465afd59e3f9a936da41224	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR1082958/ERR1082958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR1082958/ERR1082958_2.fastq.gz				206777746;3806								a2f8c014f72c8d5522479f79fbe151d5;4e5b54985045174eed509fa014294758	ERP010774		3983958	Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana													Illumina HiSeq 2000							Illumina HiSeq 2000 paired end sequencing									ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR1082958/ERR1082958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR1082958/ERR1082958_2.fastq.gz					497994750	WGS					GENOMIC			PAIRED										dcc_compare									500			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR108/008/ERR1082958/ERR1082958_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR108/008/ERR1082958/ERR1082958_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			34-sc-2324157					SC_RUN_17225_4#81				Standard			SC_EXP_17225_4#81		Wellcome Sanger Institute;SC					14528864	pathogen;pathogen:bacterium;pathogen:priority	2015-10-20			ERX1162548	Staphylococcus aureus		1280	PRJEB9644	CRAM;CRAI							ERR1082958	ERS760494											2015-10-20		Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana-sc-3704
ERR1082961	Illumina HiSeq 2000 paired end sequencing	SAMEA3464927	Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana	ERA525926					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082961/17225_4#84.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082961/17225_4#84.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082961/17225_4#84.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082961/17225_4#84.cram.crai			205594083;209876774	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR108/ERR1082961/17225_4#84.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR108/ERR1082961/17225_4#84.cram.crai							a28c323be5f35a8c1680a19282d65aa4;d54c063ee6099bd99fd129d6299a056f	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/001/ERR1082961/ERR1082961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/001/ERR1082961/ERR1082961_2.fastq.gz				292065034;5392								f0e08eab16a83f113e90d4749519f4bc;39f7cb464a4d0818b0c4bf09efab9362	ERP010774		5658372	Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana													Illumina HiSeq 2000							Illumina HiSeq 2000 paired end sequencing									ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/001/ERR1082961/ERR1082961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/001/ERR1082961/ERR1082961_2.fastq.gz					707296500	WGS					GENOMIC			PAIRED										dcc_compare									500			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR108/001/ERR1082961/ERR1082961_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR108/001/ERR1082961/ERR1082961_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			56-sc-2324160					SC_RUN_17225_4#84				Standard			SC_EXP_17225_4#84		Wellcome Sanger Institute;SC					14528900	pathogen;pathogen:bacterium;pathogen:priority	2015-10-20			ERX1162551	Staphylococcus aureus		1280	PRJEB9644	CRAM;CRAI							ERR1082961	ERS760497											2015-10-20		Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana-sc-3704
ERR1082963	Illumina HiSeq 2000 paired end sequencing	SAMEA3464929	Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana	ERA525926					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082963/17225_4#86.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082963/17225_4#86.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082963/17225_4#86.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082963/17225_4#86.cram.crai			166535573;164738152	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR108/ERR1082963/17225_4#86.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR108/ERR1082963/17225_4#86.cram.crai							58053ff15a96dfe48c80cc2f59297027;1e2ef581f0ef9bb451a3d4620b19bbf8	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/003/ERR1082963/ERR1082963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/003/ERR1082963/ERR1082963_2.fastq.gz				238729315;5848								72c2fb0abc4c734610c47ec597c25b45;576014b1d5c5ddf49801371b7d49a30b	ERP010774		5122212	Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana													Illumina HiSeq 2000							Illumina HiSeq 2000 paired end sequencing									ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/003/ERR1082963/ERR1082963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/003/ERR1082963/ERR1082963_2.fastq.gz					640276500	WGS					GENOMIC			PAIRED										dcc_compare									500			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR108/003/ERR1082963/ERR1082963_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR108/003/ERR1082963/ERR1082963_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			58-sc-2324162					SC_RUN_17225_4#86				Standard			SC_EXP_17225_4#86		Wellcome Sanger Institute;SC					14528924	pathogen;pathogen:bacterium;pathogen:priority	2015-10-20			ERX1162553	Staphylococcus aureus		1280	PRJEB9644	CRAM;CRAI							ERR1082963	ERS760499											2015-10-20		Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana-sc-3704
ERR1082967	Illumina HiSeq 2000 paired end sequencing	SAMEA3464933	Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana	ERA525926					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082967/17225_4#90.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082967/17225_4#90.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082967/17225_4#90.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR108/ERR1082967/17225_4#90.cram.crai			157132440;153818648	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR108/ERR1082967/17225_4#90.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR108/ERR1082967/17225_4#90.cram.crai							0e5c1d88ca9efeb5335742be085b4781;531f68397c6f333f0592b315201fe3ac	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR1082967/ERR1082967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR1082967/ERR1082967_2.fastq.gz				218311185;4648								5c4a23d334e67431244bfbd1930cb211;2ee69c5c54e735541aff0a82c2230a84	ERP010774		4327330	Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana													Illumina HiSeq 2000							Illumina HiSeq 2000 paired end sequencing									ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR1082967/ERR1082967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR1082967/ERR1082967_2.fastq.gz					540916250	WGS					GENOMIC			PAIRED										dcc_compare									500			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR108/007/ERR1082967/ERR1082967_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR108/007/ERR1082967/ERR1082967_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			73-sc-2324166					SC_RUN_17225_4#90				Standard			SC_EXP_17225_4#90		Wellcome Sanger Institute;SC					14528877	pathogen;pathogen:bacterium;pathogen:priority	2015-10-20			ERX1162557	Staphylococcus aureus		1280	PRJEB9644	CRAM;CRAI							ERR1082967	ERS760503											2015-10-20		Application_of_whole_genome_sequencing_to_investigate_Staphylococcus_aureus_outbreaks_in_Ghana-sc-3704
ERR1203671	Illumina HiSeq 2500 paired end sequencing	SAMEA3594235	Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women	ERA552059					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203671/17957_1#83.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203671/17957_1#83.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203671/17957_1#83.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203671/17957_1#83.cram.crai			128546618;140575375	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR120/ERR1203671/17957_1#83.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR120/ERR1203671/17957_1#83.cram.crai							b271a18311fdd93b90123674fed487f4;492e911b2aa0ab9c4902df49be5f86c4	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR1203671/ERR1203671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR1203671/ERR1203671_2.fastq.gz				187132905;2755								1ee9fe7db0250c28ac4767d5ae1c7045;77588f39921aada67c6252e5af73674b	ERP009142		2875750	Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women													Illumina HiSeq 2500							Illumina HiSeq 2500 paired end sequencing									ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR1203671/ERR1203671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR1203671/ERR1203671_2.fastq.gz					287575000	WGS					GENOMIC			PAIRED										dcc_compare									500			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR120/001/ERR1203671/ERR1203671_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR120/001/ERR1203671/ERR1203671_2.fastq.gz	1;131567;2;1224;1236;91347;543;547;354276;299767			UMB661-sc-2422446					SC_RUN_17957_1#83				Standard			SC_EXP_17957_1#83		Wellcome Sanger Institute;SC					15075556	pathogen;pathogen:bacterium	2016-01-12			ERX1275913	Enterobacter ludwigii		299767	PRJEB8104	CRAM;CRAI							ERR1203671	ERS901384											2016-01-12		Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women-sc-3454
ERR1203760	Illumina HiSeq 2500 paired end sequencing	SAMEA3594235	Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women	ERA552059					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203760/17957_2#83.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203760/17957_2#83.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203760/17957_2#83.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203760/17957_2#83.cram.crai			130742607;143359280	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR120/ERR1203760/17957_2#83.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR120/ERR1203760/17957_2#83.cram.crai							6483c7b0d6f41469566f8c8f67bf7e3f;50193c210d28602fd5ee06eb6130056d	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR1203760/ERR1203760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR1203760/ERR1203760_2.fastq.gz				190608975;2802								b18afe3c87e7840990e4bb94611a4c15;773a5f2a69ccd4694da419bedfe24015	ERP009142		2927016	Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women													Illumina HiSeq 2500							Illumina HiSeq 2500 paired end sequencing									ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR1203760/ERR1203760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR1203760/ERR1203760_2.fastq.gz					292701600	WGS					GENOMIC			PAIRED										dcc_compare									500			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR120/000/ERR1203760/ERR1203760_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR120/000/ERR1203760/ERR1203760_2.fastq.gz	1;131567;2;1224;1236;91347;543;547;354276;299767			UMB661-sc-2422446					SC_RUN_17957_2#83				Standard			SC_EXP_17957_2#83		Wellcome Sanger Institute;SC					15075556	pathogen;pathogen:bacterium	2016-01-12			ERX1276002	Enterobacter ludwigii		299767	PRJEB8104	CRAM;CRAI							ERR1203760	ERS901384											2016-01-12		Genomic_characterization_of_bladder_bacteria_from_healthy_and_infected_women-sc-3454
ERR1364115	Illumina HiSeq 2000 paired end sequencing	SAMEA3710551	Intensification_of_enteric_pathogen_transmission_in_men_who_have_sex_with_men_and_association_with_the_spread_of_antimicrobial_resistance	ERA607521					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR1364115/18787_5#64.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR1364115/18787_5#64.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR1364115/18787_5#64.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR136/ERR1364115/18787_5#64.cram.crai			204741257;190743965	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR136/ERR1364115/18787_5#64.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR136/ERR1364115/18787_5#64.cram.crai							545a7d62ff3389eea71e16ebdf7c7b42;f64a066909679f5d799d56b697ddb3c2	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/005/ERR1364115/ERR1364115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/005/ERR1364115/ERR1364115_2.fastq.gz				262684459;5589					FLEXNERI2A_158			03a2d4a5dbe4c35fe2966a1615405df1;85545f7be28f1b45ae7482f11946680f	ERP013538		5946520	Intensification_of_enteric_pathogen_transmission_in_men_who_have_sex_with_men_and_association_with_the_spread_of_antimicrobial_resistance								FLEXNERI2A_158					Illumina HiSeq 2000							Illumina HiSeq 2000 paired end sequencing	83								ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/005/ERR1364115/ERR1364115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/005/ERR1364115/ERR1364115_2.fastq.gz					743315000	WGS					GENOMIC			PAIRED										dcc_compare									479			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR136/005/ERR1364115/ERR1364115_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR136/005/ERR1364115/ERR1364115_2.fastq.gz	1;131567;2;1224;1236;91347;543;620;623			b5cebe60-9f30-11e5-9e07-3c4a9275d6c6					SC_RUN_18787_5#64				Standard			SC_EXP_18787_5#64		Wellcome Sanger Institute;SC					15572088	pathogen;pathogen:bacterium	2016-04-19		H142560511	ERX1435385	Shigella flexneri		623	PRJEB12097	CRAM;CRAI							ERR1364115	ERS1017700											2016-04-19		Intensification_of_enteric_pathogen_transmission_in_men_who_have_sex_with_men_and_association_with_the_spread_of_antimicrobial_resistance-sc-4028
ERR1512641	Illumina HiSeq 2500 paired end sequencing	SAMEA4058973		ERA669856					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1512641/394-2_staphylococcus-aureus.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1512641/394-2_staphylococcus-aureus.R2.fastq.gz						151225469					ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1512641/394-2_staphylococcus-aureus.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1512641/394-2_staphylococcus-aureus.R2.fastq.gz			102825178;104473014	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/err/ERR151/001/ERR1512641		fasp.sra.ebi.ac.uk:/vol1/run/ERR151/ERR1512641/394-2_staphylococcus-aureus.R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR151/ERR1512641/394-2_staphylococcus-aureus.R2.fastq.gz							f37fdeb38c4192eb0c3e6ef4e4b03e60;fd14a4018522bc5d493046a672f0eaf6	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1512641/ERR1512641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1512641/ERR1512641_2.fastq.gz				108625598;110254925					MOST - Development Set	ftp.sra.ebi.ac.uk/vol1/err/ERR151/001/ERR1512641		357178ab37e6f2808224cbd0b38af21c;7d774d0c1c6831e9cbf4bac8b8ba48fe	ERP016303		1820014	MOST:A modified MLST typing tool based on short read sequencing								394-2_staphylococcus-aureus					Illumina HiSeq 2500							Illumina HiSeq 2500 paired end sequencing	0						5a398f2e81ae03994a68d9606df1ca09		ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1512641/ERR1512641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/001/ERR1512641/ERR1512641_2.fastq.gz					361305901	WGS					GENOMIC	ftp.sra.ebi.ac.uk/vol1/err/ERR151/001/ERR1512641		PAIRED										dcc_compare									100			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR151/001/ERR1512641/ERR1512641_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR151/001/ERR1512641/ERR1512641_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			394-2_staphylococcus-aureus					394-2_staphylococcus-aureus			PAIRED;PAIRED				394-2_staphylococcus-aureus		PHE						pathogen;pathogen:bacterium;pathogen:priority	2016-06-30			ERX1583774	Staphylococcus aureus		1280	PRJEB14648	FASTQ;FASTQ							ERR1512641	ERS1230083											2016-07-01		phe_MOST
ERR1549309	Ion Torrent PGM sequencing	SAMEA4357121	Rapid Whole-Genome Sequencing for Detection and Characterization of Microorganisms Directly from Clinical Samples	ERA678353					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR1549309/Isolat27_IonXpress_012_R_2012_11_16_09_40_45_user_SN1-88_Auto_user_SN1-88_89.fastq.gz						276012716				The clinical microbiological laboratory at Hvidovre Hospital	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR1549309/Isolat27_IonXpress_012_R_2012_11_16_09_40_45_user_SN1-88_Auto_user_SN1-88_89.fastq.gz		S. lugdunensis	316378417	ION_TORRENT				fasp.sra.ebi.ac.uk:/vol1/err/ERR154/009/ERR1549309		fasp.sra.ebi.ac.uk:/vol1/run/ERR154/ERR1549309/Isolat27_IonXpress_012_R_2012_11_16_09_40_45_user_SN1-88_Auto_user_SN1-88_89.fastq.gz				false			bb3138d74079afbcae3f982246980c46	ERC000029	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549309/ERR1549309.fastq.gz				310767420			Denmark		Clinical samples	ftp.sra.ebi.ac.uk/vol1/err/ERR154/009/ERR1549309		2cce270db0aab80b7bfdfe82a2b1ded2	ERP016614		1828694	Rapid Whole-Genome Sequencing for Detection and Characterization of Microorganisms Directly from Clinical Samples						2012-12-31		Clinical samples					Ion Torrent PGM							Ion Torrent PGM sequencing							5c7e717777c666f7151f82c714668d81		ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/009/ERR1549309/ERR1549309.fastq.gz			DTU-GE		334378634	WGS				55.6484 N 12.4667 E	GENOMIC	ftp.sra.ebi.ac.uk/vol1/err/ERR154/009/ERR1549309		SINGLE										dcc_compare			55.6484 N 12.4667 E									public		12.4667	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR154/009/ERR1549309/ERR1549309.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;28035			Isolat27_IonXpress_012_R_2012_11_16_09_40_45_user_SN1-88_Auto_user_SN1-88_89		2012-01-01			ena-RUN-Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark-26-07-2016-14:02:21:786-9			SINGLE			2012	ena-EXPERIMENT-Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark-26-07-2016-14:02:21:786-9		Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark					unspecified	env_geo:terrestrial	2016-07-26	55.6484		ERX1620079	Staphylococcus lugdunensis	diseased	28035	PRJEB14934	FASTQ							ERR1549309	ERS1268570					55.6484 N 12.4667 E						2016-08-07		ena-STUDY-Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark-26-07-2016-14:02:22:932-259
ERR175855	Illumina HiSeq 2000 paired end sequencing	SAMEA1529818	Diversity_of_MRSA	ERA166509					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR175855/8205_1#8.bam											ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR175855/8205_1#8.bam			145407676;157534582	ILLUMINA						fasp.sra.ebi.ac.uk:/vol1/run/ERR175/ERR175855/8205_1#8.bam							2c2b95c42c3b794bf5ac45099be1f91d		ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/ERR175855/ERR175855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/ERR175855/ERR175855_2.fastq.gz				303513975								6d56b25fb86ed59e69b7be06579145a3;5d3dc7ba3773e300c729553016248a7b	ERP000871		1507868	Diversity_of_MRSA													Illumina HiSeq 2000							Illumina HiSeq 2000 paired end sequencing	67								ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/ERR175855/ERR175855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/ERR175855/ERR175855_2.fastq.gz					301573600	WGS					GENOMIC			PAIRED										dcc_compare									245			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR175/ERR175855/ERR175855_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR175/ERR175855/ERR175855_2.fastq.gz	1;131567;2;1783272;1239;91061;1385;90964;1279;1280			DV2011_01594_2-sc-2012-05-24T10:20:52Z-1426026					SC_RUN_8205_1#8				Standard			SC_EXP_8205_1#8		Wellcome Sanger Institute;SC					5510334	pathogen;pathogen:bacterium;pathogen:priority	2012-10-08			ERX152001	Staphylococcus aureus		1280	PRJEB2655	BAM							ERR175855	ERS140830											2012-10-08		Diversity_of_MRSA-sc-2011-08-22T15:47:08Z-1943
