Name	Staphylococcaceae	Enterobacteriaceae	Enterococcaceae	Bacillaceae	Moraxellaceae	Pseudomonadaceae	Actinomycetaceae	Morganellaceae	Streptococcaceae	Corynebacteriaceae	Flavobacteriaceae	Bacteroidaceae	Pasteurellaceae	Eggerthellaceae	sra_abundance	family	SRA_Agreement
ERR1082958	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.69	Staphylococcaceae	Mismatch
ERR1082961	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	Mismatch
ERR1082963	1	0	0	1	0	0	0	0	0	0	0	0	0	0	44.99	Staphylococcaceae	5-80%
ERR1082967	1	1	0	0	0	1	0	0	0	0	0	0	0	0	37.46	Staphylococcaceae	5-80%
ERR1203671	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Enterobacteriaceae	Mismatch
ERR1203760	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Enterobacteriaceae	Mismatch
ERR1364115	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	Enterobacteriaceae	Mismatch
ERR1512641	1	1	0	0	0	0	0	0	0	0	0	0	0	0	87.1	Staphylococcaceae	80-95%
ERR1549309	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Staphylococcaceae	Mismatch
ERR175855	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.35	Staphylococcaceae	Mismatch
ERR1911515	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24.62	Staphylococcaceae	5-80%
ERR1911656	1	0	0	0	0	0	0	1	0	0	0	0	0	0	57.99	Staphylococcaceae	5-80%
ERR1911657	1	0	0	0	0	0	0	1	0	0	0	0	0	0	10.59	Staphylococcaceae	5-80%
ERR1911659	1	1	0	0	0	0	0	1	0	0	0	0	0	0	48.66	Staphylococcaceae	5-80%
ERR1911660	1	0	0	0	0	0	0	1	0	0	0	0	0	0	79.63	Staphylococcaceae	5-80%
ERR1911661	1	0	0	0	0	0	0	1	0	0	0	0	0	0	81.56	Staphylococcaceae	80-95%
ERR1911662	1	1	0	0	0	0	0	1	0	0	0	0	0	0	42.24	Staphylococcaceae	5-80%
ERR1911663	1	0	0	0	0	0	0	1	0	0	0	0	0	0	82.71	Staphylococcaceae	80-95%
ERR1911664	1	0	0	0	0	0	0	1	0	0	0	0	0	0	79.86	Staphylococcaceae	5-80%
ERR1911665	1	1	0	0	0	0	0	1	0	0	0	0	0	0	22.82	Staphylococcaceae	5-80%
ERR1911666	1	1	0	0	0	0	0	1	0	0	0	0	0	0	32.1	Staphylococcaceae	5-80%
ERR1911667	1	1	0	0	0	0	0	1	0	0	0	0	0	0	24.46	Staphylococcaceae	5-80%
ERR1911668	1	0	0	0	0	0	0	1	0	0	0	0	0	0	80.62	Staphylococcaceae	80-95%
ERR1911672	1	0	0	0	0	0	0	1	0	0	0	0	0	0	81.81	Staphylococcaceae	80-95%
ERR1911673	1	0	0	0	0	0	0	1	0	0	0	0	0	0	86.92	Staphylococcaceae	80-95%
ERR1911676	1	0	0	0	0	0	0	1	0	0	0	0	0	0	84.27	Staphylococcaceae	80-95%
ERR1911678	1	0	0	0	0	0	0	1	0	0	0	0	0	0	91.44	Staphylococcaceae	80-95%
ERR1911679	1	0	0	0	0	0	0	1	0	0	0	0	0	0	77.85	Staphylococcaceae	5-80%
ERR1911680	1	0	0	0	0	0	0	1	0	0	0	0	0	0	87.79	Staphylococcaceae	80-95%
ERR1911681	1	0	0	0	0	0	0	1	0	0	0	0	0	0	85.73	Staphylococcaceae	80-95%
ERR1911682	1	0	0	0	0	0	0	1	0	0	0	0	0	0	82.16	Staphylococcaceae	80-95%
ERR1911683	1	0	0	0	0	0	0	1	0	0	0	0	0	0	91.03	Staphylococcaceae	80-95%
ERR1911684	1	0	0	0	0	0	0	1	0	0	0	0	0	0	79.1	Staphylococcaceae	5-80%
ERR1911685	1	0	0	0	0	0	0	1	0	0	0	0	0	0	74.02	Staphylococcaceae	5-80%
ERR1911687	1	0	0	0	0	0	0	1	0	0	0	0	0	0	74.37	Staphylococcaceae	5-80%
ERR1911688	1	1	0	0	0	0	0	1	0	0	0	0	0	0	71.13	Staphylococcaceae	5-80%
ERR1911692	1	0	0	0	0	0	0	1	0	0	0	0	0	0	83.27	Staphylococcaceae	80-95%
ERR1911694	1	0	0	0	0	0	0	1	0	0	0	0	0	0	90.77	Staphylococcaceae	80-95%
