ARG_number	Family	SRA_ID
3	Enterobacteriaceae	ERR1203671
2	Enterobacteriaceae	ERR1203760
5	Enterobacteriaceae	ERR1364115
2	Enterobacteriaceae	ERR1937224
1	Enterobacteriaceae	ERR1939932
1	Enterobacteriaceae	ERR212516
4	Enterobacteriaceae	ERR2204715
2	Enterobacteriaceae	ERR277225
4	Enterobacteriaceae	ERR277232
4	Enterobacteriaceae	ERR331223
2	Enterobacteriaceae	ERR387212
1	Enterobacteriaceae	ERR449082
2	Enterobacteriaceae	SRR015776
2	Enterobacteriaceae	SRR015777
4	Enterobacteriaceae	SRR136564
6	Enterobacteriaceae	SRR1656353
3	Enterobacteriaceae	SRR1656369
1	Enterobacteriaceae	SRR1814818
3	Enterobacteriaceae	SRR3000889
2	Enterobacteriaceae	SRR3466133
2	Enterobacteriaceae	SRR4788311
2	Enterobacteriaceae	SRR4897106
2	Enterobacteriaceae	SRR4897675
2	Enterobacteriaceae	SRR4897699
2	Enterobacteriaceae	SRR4897780
5	Enterobacteriaceae	SRR497016
2	Enterobacteriaceae	SRR5034995
2	Enterobacteriaceae	SRR5035004
4	Enterobacteriaceae	SRR5247760
4	Enterobacteriaceae	SRR576621
8	Enterobacteriaceae	SRR576623
10	Enterobacteriaceae	SRR576625
4	Enterobacteriaceae	SRR576627
6	Enterobacteriaceae	SRR576629
4	Enterobacteriaceae	SRR576630
4	Enterobacteriaceae	SRR576632
4	Enterobacteriaceae	SRR576634
9	Enterobacteriaceae	SRR576637
6	Enterobacteriaceae	SRR576638
4	Enterobacteriaceae	SRR6217915
3	Enterobacteriaceae	SRR6903130
3	Enterobacteriaceae	SRR6983026
2	Enterobacteriaceae	SRR7292642
3	Enterobacteriaceae	SRR7304262
5	Enterobacteriaceae	SRR7304368
4	Enterobacteriaceae	SRR7304379
3	Enterobacteriaceae	SRR7304383
4	Enterobacteriaceae	SRR7304390
1	Enterobacteriaceae	SRR7304409
1	Enterobacteriaceae	SRR7304456
5	Enterobacteriaceae	SRR7304460
1	Enterobacteriaceae	SRR7304475
